Id,SalePrice
1,120162.34375
2,127004.1640625
3,203747.515625
4,123079.0546875
5,193719.890625
6,229425.046875
7,192291.71875
8,200005.671875
9,164514.6875
10,124685.2890625
11,184398.3125
12,137990.109375
13,142305.953125
14,154012.46875
15,149974.484375
16,177411.703125
17,192100.5625
18,152965.5
19,191564.09375
20,143836.90625
21,155056.609375
22,176315.078125
23,150321.78125
24,135396.1875
25,177169.609375
26,121158.4609375
27,171270.421875
28,185300.53125
29,279698.65625
30,187149.890625
31,136161.375
32,179057.671875
33,162925.828125
34,176617.515625
35,195581.671875
36,149385.328125
37,139280.984375
38,201702.90625
39,142910.625
40,156750.328125
41,160156.375
42,177628.171875
43,191374.5625
44,245002.9375
45,238241.171875
46,190442.296875
47,181266.453125
48,198225.3125
49,156648.71875
50,176500.78125
51,240888.765625
52,162376.734375
53,158803.53125
54,187153.015625
55,177013.046875
56,189430.359375
57,165025.984375
58,149003.921875
59,166517.078125
60,141959.453125
61,160933.515625
62,181482.65625
63,140573.28125
64,207531.984375
65,128080.7890625
66,185402.796875
67,165024.8125
68,160952.59375
69,214412.75
70,177360.796875
71,161329.046875
72,137852.1875
73,293493.59375
74,139697.46875
75,141128.5
76,125811.8671875
77,225643.8125
78,201806.109375
79,163447.65625
80,172081.609375
81,211547.9375
82,172907.65625
83,170477.71875
84,150236.765625
85,171930.40625
86,149330.703125
87,117335.3203125
88,164920.546875
89,196821.5
90,160902.515625
91,112280.3046875
92,179958.15625
93,193539.859375
94,166314.53125
95,192141.3125
96,186314.265625
97,186235.15625
98,321801.0625
99,136332.984375
100,110530.6640625
101,161795
102,128280.2109375
103,157791.0625
104,141324.859375
105,210049.9375
106,236505.734375
107,192249.734375
108,235488.015625
109,156850.28125
110,212552.703125
111,102171.046875
112,126858.703125
113,138340.390625
114,193276.71875
115,197251.96875
116,100290.5390625
117,169061.390625
118,144380.78125
119,122660.96875
120,170975.078125
121,112445.9375
122,211453.375
123,150801.40625
124,177863.828125
125,188682.78125
126,228423.875
127,135824.53125
128,134314.328125
129,181657.984375
130,147521.859375
131,175570.5625
132,208851.390625
133,214408.859375
134,141635
135,152391.578125
136,148813.90625
137,172095.734375
138,220256.609375
139,137320.125
140,151841.984375
141,174292.1875
142,218424.390625
143,116553.7578125
144,172526.53125
145,118732.0703125
146,170040.25
147,198325.75
148,149049.109375
149,238454.421875
150,133577.34375
151,202732.5
152,180497.734375
153,177357.09375
154,182720.828125
155,127137.1640625
156,187316.0625
157,130908.703125
158,181197.015625
159,217049.265625
160,144394.703125
161,193177.375
162,190956.09375
163,195461.046875
164,187093.4375
165,199411.609375
166,158800.921875
167,237726.578125
168,125362.421875
169,114065.3984375
170,131383.53125
171,162670.734375
172,202378.609375
173,275838.3125
174,141712.546875
175,130334.078125
176,170388.890625
177,211111.125
178,220826.171875
179,190681.359375
180,169019.46875
181,165263.3125
182,145365.734375
183,118730.375
184,177391.015625
185,173318.765625
186,143465.234375
187,185527.765625
188,235007.53125
189,170073.21875
190,190516.828125
191,170663.484375
192,138576.75
193,162153.4375
194,170878.09375
195,169694.875
196,141106.0625
197,227240.484375
198,301385.8125
199,236399.125
200,147474.421875
201,191032
202,134841.21875
203,124839.0703125
204,121825.7578125
205,221262.09375
206,202594.1875
207,160522.046875
208,254692.25
209,199138.125
210,225232.96875
211,206540.234375
212,191898.28125
213,147036.546875
214,168995.984375
215,291614.5
216,223887.5625
217,171473.8125
218,158088.984375
219,164699.546875
220,224633.078125
221,175211.703125
222,141142.859375
223,154197.765625
224,160978.296875
225,211695.640625
226,181457.3125
227,169170.890625
228,176272.46875
229,167638.65625
230,176944.125
231,144537.484375
232,209914.78125
233,136976.609375
234,160098.75
235,203817.78125
236,203021.375
237,189376.171875
238,217806.28125
239,181682.140625
240,150305.96875
241,145286.5625
242,147394.453125
243,150330.25
244,141022.984375
245,143225.6875
246,183304.359375
247,191385.546875
248,160314.234375
249,168101.8125
250,162152.984375
251,145360.15625
252,142517.0625
253,119094.6328125
254,117100.34375
255,259016.84375
256,135630.453125
257,154827.359375
258,192785.3125
259,175285.78125
260,204100.265625
261,193820.9375
262,220165.453125
263,120056.359375
264,130543.3359375
265,160587.171875
266,126420.15625
267,187423.984375
268,197166.8125
269,156329.078125
270,167750.15625
271,140562.078125
272,171097.3125
273,222261.28125
274,176929.640625
275,129669.9453125
276,173994.21875
277,142503.75
278,149883.59375
279,246883.84375
280,162521.6875
281,152862.828125
282,166562.828125
283,147278.1875
284,159861.6875
285,207873.53125
286,153470.734375
287,140191.5625
288,120229.09375
289,130174.3828125
290,312298.875
291,132879.59375
292,140683.28125
293,127302.4375
294,156848.078125
295,137042.21875
296,191035.53125
297,130485.578125
298,141260.59375
299,166866.859375
300,156343.078125
301,139712.28125
302,146500.5625
303,219413.4375
304,141782.234375
305,228966.0625
306,178022.21875
307,144300.875
308,182094.8125
309,164428.953125
310,294962.1875
311,177359.828125
312,168523.65625
313,182402.53125
314,131931.5
315,120544.296875
316,112818.6640625
317,181887.875
318,169897.875
319,171027.40625
320,140731.359375
321,150544.546875
322,149683.484375
323,226193.171875
324,185533.46875
325,225773.765625
326,132817.703125
327,109619.7109375
328,121745.25
329,166775.0625
330,131285.296875
331,177112.34375
332,164697.421875
333,169514.71875
334,200125.984375
335,142872.328125
336,124589.3359375
337,184305.46875
338,138442.640625
339,158406.5
340,159796.859375
341,151218.265625
342,131663.234375
343,161180.453125
344,181425.171875
345,187689.140625
346,196583.078125
347,153413.84375
348,151939.46875
349,118467.2421875
350,202897
351,182309.078125
352,149373.40625
353,239433.421875
354,169903.546875
355,154347.828125
356,180577.609375
357,170319.40625
358,176531.453125
359,178568.59375
360,136410.15625
361,161078.921875
362,185085.515625
363,115895.9296875
364,171252.265625
365,172969.40625
366,127015
367,132898.765625
368,200368.875
369,143665.359375
370,112790.703125
371,175288.390625
372,156724.25
373,185187.359375
374,132219.0625
375,184950.515625
376,181984.375
377,161223.0625
378,172883.796875
379,191282.34375
380,188576.421875
381,132052.90625
382,186436.84375
383,164380.890625
384,209714.921875
385,179607.078125
386,277238.46875
387,207656.65625
388,123001.9296875
389,137990.265625
390,142770.640625
391,180506.375
392,143985.328125
393,192298.109375
394,153771.84375
395,172943.28125
396,146034.046875
397,154781.0625
398,167694.5625
399,144916.65625
400,159241.140625
401,131519.421875
402,167447.78125
403,193021.484375
404,157552.171875
405,130013.4453125
406,191467.46875
407,135975.953125
408,188209.0625
409,172015.03125
410,169206.046875
411,146782.9375
412,181607.984375
413,159864.34375
414,217251.984375
415,159665
